Company_Code,Company_Name,Article_Title,Article_Date,ESG_Relevance_Score,Is_ESG_Relevant,Matched_ESG_Keywords,Matched_Non_ESG_Keywords,Rejection_Reason,Analysis_Date
TCS,Tata Consultancy Services,"Infosys, TCS, other IT heavyweights drop 1%, IT index snaps 2-day gaining streak amid weak market Several IT stocks declined on May 27, pushing the Nifty IT index down into the red to snap its two-day",2025-05-27,-3,False,,"share price, nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"TCS shares hit 52-week low on BSE, fall 0.8% Shares of Tata Consultancy Services (TCS) touched a 52-week low of Rs 3,055 on the BSE in early trade. At 9:36 am, the stock was trading down 0.8% on BSE. ",2025-07-29,-1,False,,nifty,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares fall 1.49% in today's session; over 18.4 lakh shares traded Shares of Tata Consultancy Services were trading lower at Rs 3,217.30 on the NSE, a decline of 1.49% from t",2025-07-14,0,False,,,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Nifty IT index tops the chart after gaining Rs 1.16 lakh crore in value in nine sessions with eight up days The shares of TCS and Infosys were among the leading contributor on Sensex, as IT companies ",2025-06-16,-1,False,environment,"nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares fall marginally in early trade Shares of Tata Consultancy Services were trading at Rs 3,028.50 on the NSE at 09:30 am, a marginal decline of 0.27% from the previous cl",2025-08-01,0,False,labor,nifty,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares fall marginally in afternoon trade Shares of Tata Consultancy Services were trading at Rs 3,189.90 in Friday's session, a decline of 0.60% from the previous close. The",2025-07-18,0,False,,,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Nifty IT sharply down on selloff after Fed's inflation, tariff view; Wipro sole gainer on upgrade Shares of IT companies were sharply lower on June 19, after the US Federal Reserve kept key interest r",2025-06-19,-2,False,,"target price, nifty",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares fall 1.42%; among top losers on Nifty 50 Shares of Tata Consultancy Services declined by 1.42% to Rs 3,091.20 in Monday's session, making it among the top losers on Ni",2025-07-28,-1,False,,nifty,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Buy Tata Consultancy Services; target of Rs 3900: Sharekhan Sharekhan's research report on Tata Consultancy Services  Reported revenue stood at $7,421 million, down 0.6% q-o-q/ 1.1% y-o-y, missing our",2025-07-11,0,False,,,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Sensex settles nearly 600 pts lower, Nifty below 24,700: FII selling, rising India VIX among key factors behind market fall The equity benchmark indices Sensex and Nifty declined for the third day on ",2025-07-28,-4,False,,"intraday, resistance, nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
