Company_Code,Company_Name,Master_ESG_Score,Risk_Level,Score_Explanation,Strengths,Strengths_Count,Weaknesses,Weaknesses_Count,Recommendations,Recommendations_Count,Comparative_Insight,Analysis_Date
TCS,Tata Consultancy Services,6.929791666666667,Medium,"Tata Consultancy Services has an overall ESG score of 6.93/10, indicating Medium ESG risk. The company performs strongest in Social (10.0/10) and weakest in Environmental (5.3/10). Cross-validation consistency is 7.0/10. Detected 1 contradiction(s), highest severity High. Data quality confidence is 5.2/10. External benchmark proxy score is 7.2/10. Project ranking is closely aligned with benchmark ranking. ",High renewable energy usage (79%) | Positive media coverage and reputation,2,Poor air quality at some office locations | Cross-validation contradictions detected (severity: High),2,Implement air quality improvement measures at affected locations | Resolve contradiction flags by reconciling BRSR claims with external performance data | Focus on continuous improvement in identified weak areas,3,Ranks #3 out of 50 IT companies analyzed (96th percentile). Performs 0.8 points above industry average. Most similar ESG profile to Nazara Technologies (score: 6.99). Project rank is 3 vs benchmark rank 2.,2026-09-03
INFY,Infosys,6.796555555555556,Medium,"Infosys has an overall ESG score of 6.80/10, indicating Medium ESG risk. The company performs strongest in Social (9.0/10) and weakest in Governance (4.8/10). Cross-validation consistency is 10.0/10. Data quality confidence is 3.6/10. External benchmark proxy score is 6.9/10. Project ranking is closely aligned with benchmark ranking. ",Strong gender diversity (39% female employees) | Positive media coverage and reputation,2,Poor air quality at some office locations | Inadequate board independence (1%) | Low transparency in ESG disclosure | Low data quality confidence for scoring inputs,4,Implement air quality improvement measures at affected locations | Appoint more independent directors to strengthen board governance | Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Focus on continuous improvement in identified weak areas,5,Ranks #6 out of 50 IT companies analyzed (90th percentile). Performs 0.6 points above industry average. Most similar ESG profile to Tech Mahindra (score: 6.81). Project rank is 6 vs benchmark rank 5.,2026-09-03
WIPRO,Wipro,6.665625,Medium,"Wipro has an overall ESG score of 6.67/10, indicating Medium ESG risk. The company performs strongest in Social (9.0/10) and weakest in Environmental (4.0/10). Cross-validation consistency is 10.0/10. Data quality confidence is 4.5/10. External benchmark proxy score is 7.1/10. Project vs benchmark rank deviation is 4, suggesting further review. ",Strong gender diversity (37% female employees) | Positive media coverage and reputation,2,Poor air quality at some office locations | Low data quality confidence for scoring inputs,2,Implement air quality improvement measures at affected locations | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Focus on continuous improvement in identified weak areas,4,Ranks #8 out of 50 IT companies analyzed (86th percentile). Performs in line with industry average. Most similar ESG profile to eClerx Services (score: 6.71). Project rank is 8 vs benchmark rank 4.,2026-09-03
HCLTECH,HCL Technologies,6.346958333333333,Medium,"HCL Technologies has an overall ESG score of 6.35/10, indicating Medium ESG risk. The company performs strongest in Social (10.0/10) and weakest in Environmental (4.3/10). Cross-validation consistency is 8.0/10. Detected 1 contradiction(s), highest severity Medium. Data quality confidence is 3.3/10. External benchmark proxy score is 6.8/10. Project vs benchmark rank deviation is 2, suggesting further review. ",Strong gender diversity (40% female employees) | Positive media coverage and reputation,2,Poor air quality at some office locations | Low transparency in ESG disclosure | Cross-validation contradictions detected (severity: Medium) | Low data quality confidence for scoring inputs,4,Implement air quality improvement measures at affected locations | Enhance ESG disclosure completeness and third-party verification | Resolve contradiction flags by reconciling BRSR claims with external performance data | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences,5,Ranks #9 out of 50 IT companies analyzed (84th percentile). Performs in line with industry average. Most similar ESG profile to Redington (score: 6.32). Project rank is 9 vs benchmark rank 7.,2026-09-03
TECHM,Tech Mahindra,6.8060833333333335,Medium,"Tech Mahindra has an overall ESG score of 6.81/10, indicating Medium ESG risk. The company performs strongest in Social (10.0/10) and weakest in Environmental (4.0/10). Cross-validation consistency is 10.0/10. Data quality confidence is 3.9/10. External benchmark proxy score is 6.8/10. Project ranking is closely aligned with benchmark ranking. ",Positive media coverage and reputation,1,Poor air quality at some office locations | Low transparency in ESG disclosure | Low data quality confidence for scoring inputs,3,Implement air quality improvement measures at affected locations | Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Focus on continuous improvement in identified weak areas,4,Ranks #5 out of 50 IT companies analyzed (92th percentile). Performs 0.6 points above industry average. Most similar ESG profile to Infosys (score: 6.80). Project rank is 5 vs benchmark rank 6.,2026-09-03
LTIM,LTIMindtree,5.200708333333334,Medium-High,"LTIMindtree has an overall ESG score of 5.20/10, indicating Medium-High ESG risk. The company performs strongest in Social (5.8/10) and weakest in Environmental (4.0/10). Cross-validation consistency is 10.0/10. Data quality confidence is 2.5/10. External benchmark proxy score is 4.0/10. Project vs benchmark rank deviation is 18, suggesting further review. ",Positive media coverage and reputation,1,Poor air quality at some office locations | Limited gender diversity (14% female employees) | Insufficient employee training (4 hours per employee) | Inadequate board independence (7%) | Low transparency in ESG disclosure | Low data quality confidence for scoring inputs,6,Implement air quality improvement measures at affected locations | Enhance diversity hiring programs and create inclusive workplace policies | Expand employee training and development programs | Appoint more independent directors to strengthen board governance | Enhance ESG disclosure completeness and third-party verification,5,Ranks #19 out of 50 IT companies analyzed (64th percentile). Performs 1.0 points below industry average. Most similar ESG profile to Mphasis (score: 5.38). Project rank is 19 vs benchmark rank 37.,2026-09-03
MPHASIS,Mphasis,5.381583333333333,Medium-High,"Mphasis has an overall ESG score of 5.38/10, indicating Medium-High ESG risk. The company performs strongest in Social (10.0/10) and weakest in Environmental (2.5/10). Cross-validation consistency is 10.0/10. Data quality confidence is 0.4/10. External benchmark proxy score is 3.7/10. Project vs benchmark rank deviation is 24, suggesting further review. ",Positive media coverage and reputation,1,Poor air quality at some office locations | Low transparency in ESG disclosure | Potential greenwashing concerns | Low data quality confidence for scoring inputs,4,Implement air quality improvement measures at affected locations | Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Conduct comprehensive ESG audit and develop improvement roadmap,5,Ranks #18 out of 50 IT companies analyzed (66th percentile). Performs 0.8 points below industry average. Most similar ESG profile to LTIMindtree (score: 5.20). Project rank is 18 vs benchmark rank 42.,2026-09-03
PERSISTENT,Persistent Systems,,High,"Persistent Systems has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 4.9/10. External benchmark proxy score is 4.8/10. Project vs benchmark rank deviation is 8, suggesting further review. ",High renewable energy usage (100%) | Strong gender diversity (35% female employees) | Positive media coverage and reputation,3,Low data quality confidence for scoring inputs,1,Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,3,Ranks #23 out of 50 IT companies analyzed (56th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 23 vs benchmark rank 15.,2026-09-03
COFORGE,Coforge,,High,"Coforge has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 3.4/10. External benchmark proxy score is 4.5/10. Project vs benchmark rank deviation is 5, suggesting further review. ",Positive media coverage and reputation,1,Insufficient employee training (3 hours per employee) | Potential greenwashing concerns | Low data quality confidence for scoring inputs,3,Expand employee training and development programs | Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,5,Ranks #24 out of 50 IT companies analyzed (54th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 24 vs benchmark rank 19.,2026-09-03
LTTS,L&T Technology Services,5.848258333333333,Medium-High,"L&T Technology Services has an overall ESG score of 5.85/10, indicating Medium-High ESG risk. The company performs strongest in Social (10.0/10) and weakest in Environmental (2.5/10). Cross-validation consistency is 10.0/10. Data quality confidence is 2.2/10. External benchmark proxy score is 4.2/10. Project vs benchmark rank deviation is 16, suggesting further review. ",Excellent employee training (278 hours per employee) | Positive media coverage and reputation,2,Low renewable energy usage (11%) | Poor air quality at some office locations | Low transparency in ESG disclosure | Low data quality confidence for scoring inputs,4,Increase investment in renewable energy sources and set ambitious targets | Implement air quality improvement measures at affected locations | Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences,5,Ranks #16 out of 50 IT companies analyzed (70th percentile). Performs in line with industry average. Most similar ESG profile to Mazagon Dock Shipbuilders (score: 5.73). Project rank is 16 vs benchmark rank 32.,2026-09-03
